host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
11299221,Kelly,other neighborhoods,green lake,47.67334,-122.33451,Entire home/apt,166.0,2,183,2024-06-21,1.51,4,218,25
3074414,Melissa,university district,university district,47.66082,-122.31358,Entire home/apt,115.0,30,41,2023-09-22,0.38,132,244,1
11580391,Shawn,ballard,west woodland,47.66577,-122.36659,Entire home/apt,135.0,2,51,2024-05-26,0.52,1,112,7
11737076,Donna,other neighborhoods,broadview,47.70914,-122.36338,Entire home/apt,100.0,1,180,2024-06-14,1.43,1,280,24
225830,Lee & Steve,northgate,maple leaf,47.69968,-122.30691,Private room,60.0,10,96,2024-05-24,0.77,1,144,7
1123549,Sandy,other neighborhoods,fremont,47.65401,-122.34515,Private room,65.0,2,627,2024-06-07,5.12,2,56,40
4384828,Monique,ballard,adams,47.67529297,-122.3888168,Entire home/apt,219.0,30,162,2024-06-16,1.3,2,333,23
12509177,Susan And Joel,other neighborhoods,ravenna,47.6824,-122.30303,Private room,70.0,1,246,2024-06-23,2.55,1,74,70
2824920,Gerrit & Ann,rainier valley,columbia city,47.55217,-122.28502,Entire home/apt,98.0,2,466,2024-06-04,3.88,1,291,30
12693172,Laura & Peter,queen anne,east queen anne,47.63757,-122.34593,Entire home/apt,226.0,2,149,2024-06-21,1.19,1,269,28
6433045,Joseph,beacon hill,north beacon hill,47.5739,-122.30978,Entire home/apt,85.0,30,368,2024-05-15,2.93,1,264,22
12913415,Michelle,west seattle,north admiral,47.587074,-122.393158,Entire home/apt,164.0,3,200,2024-06-09,1.6,2,279,13
5570855,Marian,west seattle,north admiral,47.58378,-122.39909,Entire home/apt,171.0,2,587,2024-06-02,4.71,2,322,38
5507715,Stephanie,other neighborhoods,greenwood,47.68469,-122.35214,Entire home/apt,98.0,3,421,2024-06-15,3.39,1,147,33
4485958,Phil And Andrea,central area,madrona,47.60929,-122.29554,Entire home/apt,116.0,5,526,2024-06-15,4.28,2,124,49
13386991,Kelly,central area,leschi,47.59676,-122.28667,Entire home/apt,85.0,30,16,2024-05-20,0.13,1,111,6
1123549,Sandy,other neighborhoods,fremont,47.6551,-122.34316,Private room,70.0,2,684,2024-06-13,5.49,2,66,50
30832,Siena C.C.,downtown,first hill,47.61165,-122.32899,Entire home/apt,353.0,3,486,2024-06-14,3.95,5,210,34
13669439,Matthew,capitol hill,stevens,47.63193,-122.30955,Private room,55.0,30,275,2023-12-20,2.49,2,230,2
2231298,Chris,ballard,adams,47.67294,-122.38311,Entire home/apt,227.0,1,748,2024-04-14,6.02,3,306,47
106972,Kelly,queen anne,east queen anne,47.63007,-122.34499,Entire home/apt,144.0,3,308,2024-06-18,2.56,3,132,33
13786062,Lucy,downtown,belltown,47.61855,-122.34512,Entire home/apt,137.0,5,229,2024-06-22,1.85,2,65,34
13786376,Manuela,other neighborhoods,fremont,47.65456,-122.3594,Entire home/apt,150.0,2,633,2024-06-22,5.17,1,297,69
10392662,Sheryl,other neighborhoods,wallingford,47.65924,-122.33191,Private room,212.459747172322,30,190,2023-08-31,1.53,2,21,1
13959773,Rose Michelle,other neighborhoods,fremont,47.65856,-122.35146,Entire home/apt,95.0,14,214,2020-04-03,1.73,1,292,0
601600,Hal,other neighborhoods,fremont,47.65361,-122.34931,Entire home/apt,169.0,3,338,2024-06-21,2.73,2,317,23
14107195,Jean-Sébastien,other neighborhoods,fremont,47.65412,-122.35262,Entire home/apt,220.0,2,465,2024-06-22,3.78,4,5,24
14127360,Anne,other neighborhoods,phinney ridge,47.67279,-122.35926,Entire home/apt,125.0,3,52,2024-04-13,0.43,1,107,2
14372052,Kathleen,delridge,north delridge,47.56628,-122.36652,Entire home/apt,88.0,2,389,2024-06-15,3.18,1,277,37
3381463,Katrina,central area,atlantic,47.59485,-122.3095,Private room,71.0,30,29,2016-05-29,0.23,1,83,0
3074414,Melissa,university district,university district,47.66315,-122.31348,Entire home/apt,120.0,30,24,2022-09-13,0.19,132,85,0
13240442,Adam,capitol hill,stevens,47.62494,-122.30343,Entire home/apt,175.0,6,99,2024-05-27,0.81,2,267,6
14926558,Sarah & Katie,queen anne,north queen anne,47.64714,-122.35336,Entire home/apt,205.0,2,412,2024-06-13,3.35,1,222,31
3074414,Melissa,university district,university district,47.66308,-122.30442,Entire home/apt,190.0,30,45,2023-09-20,0.38,132,55,4
14015217,Elsie,downtown,belltown,47.615265,-122.349747,Entire home/apt,306.0,1,538,2024-06-09,4.38,1,288,43
3074414,Melissa,university district,university district,47.66094,-122.31542,Entire home/apt,125.0,30,45,2024-01-29,0.37,132,129,1
15060417,Ginny,ballard,adams,47.66482,-122.38316,Entire home/apt,300.0,5,146,2023-09-10,1.2,1,231,7
1121532,Melissa,capitol hill,broadway,47.62192,-122.32569,Entire home/apt,157.0,30,194,2024-01-31,1.58,10,282,2
2066223,Patricia,other neighborhoods,wallingford,47.65491,-122.32722,Private room,72.0,2,312,2024-06-06,2.72,1,17,33
